local_id,x,y,z,rib_index,stringer_index,tag,h,global_id
93,4.07512762826167,8.83030292653339,0.01,8,2,stringer,extrados,308
181,4.13209287535654,8.68078717277005,0.01,8,3,stringer,extrados,309
269,4.18905812245141,8.5312714190067,0.01,8,4,stringer,extrados,310
357,4.24602336954628,8.38175566524336,0.01,8,5,stringer,extrados,311
446,4.30298861664115,8.23223991148001,0.01,8,6,stringer,extrados,312
535,4.35995386373602,8.08272415771667,0.01,8,7,stringer,extrados,313
624,4.41691911083088,7.93320840395333,0.01,8,8,stringer,extrados,314
713,4.47388435792575,7.78369265018999,0.01,8,9,stringer,extrados,315
803,4.53084960502062,7.63417689642664,0.01,8,10,stringer,extrados,316
890,4.58781485211549,7.4846611426633,0.01,8,11,stringer,extrados,317
975,4.64478009921036,7.33514538889996,0.01,8,12,stringer,extrados,318
1057,4.70174534630522,7.18562963513662,0.01,8,13,stringer,extrados,319
1136,4.75871059340009,7.03611388137327,0.01,8,14,stringer,extrados,320
1212,4.81567584049496,6.88659812760993,0.01,8,15,stringer,extrados,321
1285,4.87264108758983,6.73708237384659,0.01,8,16,stringer,extrados,322
1356,4.9296063346847,6.58756662008324,0.01,8,17,stringer,extrados,323
1425,4.98657158177957,6.4380508663199,0.01,8,18,stringer,extrados,324
1491,5.04353682887443,6.28853511255656,0.01,8,19,stringer,extrados,325
1554,5.1005020759693,6.13901935879321,0.01,8,20,stringer,extrados,326
1614,5.15746732306417,5.98950360502987,0.01,8,21,stringer,extrados,327
1671,5.21443257015904,5.83998785126653,0.01,8,22,stringer,extrados,328
1726,5.27139781725391,5.69047209750319,0.01,8,23,stringer,extrados,329
1779,5.32836306434878,5.54095634373984,0.01,8,24,stringer,extrados,330
1829,5.38532831144364,5.3914405899765,0.01,8,25,stringer,extrados,331
1876,5.44229355853851,5.24192483621316,0.01,8,26,stringer,extrados,332
1920,5.49925880563338,5.09240908244981,0.01,8,27,stringer,extrados,333
1961,5.55622405272825,4.94289332868647,0.01,8,28,stringer,extrados,334
1999,5.61318929982312,4.79337757492313,0.01,8,29,stringer,extrados,335
2034,5.67015454691798,4.64386182115979,0.01,8,30,stringer,extrados,336
2067,5.72711979401285,4.49434606739644,0.01,8,31,stringer,extrados,337
2097,5.78408504110772,4.3448303136331,0.01,8,32,stringer,extrados,338
2124,5.84105028820259,4.19531455986976,0.01,8,33,stringer,extrados,339
2148,5.89801553529746,4.04579880610641,0.01,8,34,stringer,extrados,340
2169,5.95498078239233,3.89628305234307,0.01,8,35,stringer,extrados,341
2187,6.01194602948719,3.74676729857973,0.01,8,36,stringer,extrados,342
2202,6.06891127658206,3.59725154481639,0.01,8,37,stringer,extrados,343
2215,6.12587652367693,3.44773579105304,0.01,8,38,stringer,extrados,344
9,4.28826284542925,9.2539459120801,0.01,9,-2,rear spars,extrados,345
9,6.43866405230445,3.60982298211018,0.01,9,-1,front spars,extrados,346
6,4.34522809252412,9.10443015831675,0.01,9,1,stringer,extrados,347
94,4.40219333961899,8.95491440455341,0.01,9,2,stringer,extrados,348
182,4.45915858671385,8.80539865079007,0.01,9,3,stringer,extrados,349
270,4.51612383380872,8.65588289702673,0.01,9,4,stringer,extrados,350
358,4.57308908090359,8.50636714326338,0.01,9,5,stringer,extrados,351
447,4.63005432799846,8.35685138950004,0.01,9,6,stringer,extrados,352
536,4.68701957509333,8.2073356357367,0.01,9,7,stringer,extrados,353
625,4.7439848221882,8.05781988197336,0.01,9,8,stringer,extrados,354
714,4.80095006928306,7.90830412821001,0.01,9,9,stringer,extrados,355
804,4.85791531637793,7.75878837444667,0.01,9,10,stringer,extrados,356
891,4.9148805634728,7.60927262068333,0.01,9,11,stringer,extrados,357
976,4.97184581056767,7.45975686691998,0.01,9,12,stringer,extrados,358
1058,5.02881105766254,7.31024111315664,0.01,9,13,stringer,extrados,359
1137,5.08577630475741,7.1607253593933,0.01,9,14,stringer,extrados,360
1213,5.14274155185227,7.01120960562995,0.01,9,15,stringer,extrados,361
1286,5.19970679894714,6.86169385186661,0.01,9,16,stringer,extrados,362
1357,5.25667204604201,6.71217809810327,0.01,9,17,stringer,extrados,363
1426,5.31363729313688,6.56266234433993,0.01,9,18,stringer,extrados,364
1492,5.37060254023175,6.41314659057658,0.01,9,19,stringer,extrados,365
1555,5.42756778732662,6.26363083681324,0.01,9,20,stringer,extrados,366
1615,5.48453303442148,6.1141150830499,0.01,9,21,stringer,extrados,367
