x,y,z
5.18498102773525,7.88339985246669,0.01
5.24194627483011,7.73388409870335,0.01
5.29891152192498,7.58436834494001,0.01
5.35587676901985,7.43485259117667,0.01
5.41284201611472,7.28533683741332,0.01
5.46980726320959,7.13582108364998,0.01
5.52677251030446,6.98630532988664,0.01
5.58373775739932,6.83678957612329,0.01
5.64070300449419,6.68727382235995,0.01
5.69766825158906,6.53775806859661,0.01
5.75463349868393,6.38824231483326,0.01
5.8115987457788,6.23872656106992,0.01
5.86856399287367,6.08921080730658,0.01
5.92552923996853,5.93969505354324,0.01
5.9824944870634,5.79017929977989,0.01
6.03945973415827,5.64066354601655,0.01
6.09642498125314,5.49114779225321,0.01
6.15339022834801,5.34163203848986,0.01
6.21035547544288,5.19211628472652,0.01
6.26732072253774,5.04260053096318,0.01
6.32428596963261,4.89308477719984,0.01
6.38125121672748,4.74356902343649,0.01
6.43821646382235,4.59405326967315,0.01
6.49518171091722,4.44453751590981,0.01
6.55214695801209,4.29502176214646,0.01
6.60911220510695,4.14550600838312,0.01
6.66607745220182,3.99599025461978,0.01
6.72304269929669,3.84647450085643,0.01
4.94239426814388,9.50316886812015,0.01
7.05287412409129,3.96382685598386,0.01
4.99935951523874,9.3536531143568,0.01
5.05632476233361,9.20413736059346,0.01
5.11329000942848,9.05462160683012,0.01
5.17025525652335,8.90510585306678,0.01
5.22722050361822,8.75559009930343,0.01
5.28418575071309,8.60607434554009,0.01
5.34115099780795,8.45655859177675,0.01
5.39811624490282,8.3070428380134,0.01
5.45508149199769,8.15752708425006,0.01
5.51204673909256,8.00801133048672,0.01
5.56901198618743,7.85849557672337,0.01
5.6259772332823,7.70897982296003,0.01
5.68294248037716,7.55946406919669,0.01
5.73990772747203,7.40994831543335,0.01
5.7968729745669,7.26043256167,0.01
5.85383822166177,7.11091680790666,0.01
5.91080346875664,6.96140105414332,0.01
5.9677687158515,6.81188530037997,0.01
6.02473396294637,6.66236954661663,0.01
6.08169921004124,6.51285379285329,0.01
6.13866445713611,6.36333803908995,0.01
6.19562970423098,6.2138222853266,0.01
6.25259495132585,6.06430653156326,0.01
6.30956019842071,5.91479077779992,0.01
6.36652544551558,5.76527502403657,0.01
6.42349069261045,5.61575927027323,0.01
6.48045593970532,5.46624351650989,0.01
6.53742118680019,5.31672776274655,0.01
6.59438643389506,5.1672120089832,0.01
6.65135168098992,5.01769625521986,0.01
6.70831692808479,4.86818050145652,0.01
6.76528217517966,4.71866474769317,0.01
6.82224742227453,4.56914899392983,0.01
6.8792126693694,4.41963324016649,0.01
6.93617791646427,4.27011748640314,0.01
6.99314316355913,4.1206017326398,0.01
7.050108410654,3.97108597887646,0.01
5.26945997950119,9.62778034614017,0.01
7.3599791599847,4.1408287929207,0.01
5.32642522659606,9.47826459237683,0.01
5.38339047369093,9.32874883861349,0.01
5.44035572078579,9.17923308485014,0.01
5.49732096788066,9.0297173310868,0.01
5.55428621497553,8.88020157732346,0.01
5.6112514620704,8.73068582356011,0.01
5.66821670916527,8.58117006979677,0.01
